Número de registro,Classe ,Ordem,Família,Espécie,Nome popular,Data de encontro,Horário,Tempo,Campus,Local de encontro,Ponto georeferencial,Latitude,Logitude,Hábitat,Microhabitat,Status do animal,Classe etária,Colaborador,@ do Instagram,Coletor,Destino,Como nos contatou?,Registrado por:,Foto ,Filme,Observações,,,,,,
LABEV 0477,Actinopterygii,Siluriformes,Callichthyidae,Hoplosternum sp., Tamoatá,10/01/2025,11:40,Nublado,Básico,"Vala do ICB, entrada principal",ICB,,,Aquático,Água poluida,Vivo,Adulto,Kita,@kitasantoscosta,Senhora da venda,Rio Guamá,Equipe ConViva,Kita,Sim,Nao,-,-,,,,,
LABEV 0478,Aves,Passeriformes,Tyrannidae,Pitangus sulphuratus,Bem-te-vi,14/01/2025,16:20,Ensolarado,Básico,Ver-o-pezinho,Ver-o-pezinho,,,Aéreo,,Vivo,Adulto,João Oliveira,@jota.oli,-,-,Equipe ConViva,Douglas,Não,Sim,-,-,,,,,
LABEV 0479,Aves,Gruiformes,Aramidae ,Aramus guarauna,Carão,16/01/2025,18:28,Anoitecer,Profissional,Orla do profissional,Orla do profissional,,,Aéreo e terrestre,,Vivo,Adulto,Carlos Favacho,@carlos.favacho1,-,-,Equipe ConViva,Douglas,Não,Sim,-,-,,,,,
LABEV 0480,Aves,Apodiformes,Trochilidae,Phaethornis ruber,Rabo-branco-rubro,16/01/2025,21:19,Noite,PCT,PCT,PCT,,,Aéreo,,Vivo,Adulto,João Oliveira,@jota.oli,-,-,Equipe ConViva,Douglas,Não,Sim,-,-,,,,,
LABEV 0481,Actinopterygii,Synbranchiformes,Synbranchidae,Synbranchus marmoratus,Mussum,17/01/2025,08:30,Ensolarado,Básico,"Vala do ICB, entrada principal",ICB,,,Aquático,Vala,Vivo,Adulto,Esley Cardoso ,@esley.cardoso,-,-,Equipe ConViva,Douglas,Sim,Não,-,-,,,,,
LABEV 0482,Aves,Cuculiformes,Cuculidae,Guira guira,Anu-branco,20/01/2025,18:13,Ensolarado,Profissional,Arvores próximo ao portão 3,Portão 3,,,Aéreo e arborícola,Árvore,Vivo,Adulto,João Oliveira,@jota.oli,-,-,Whatsapp,Douglas,Não,Sim,-,-,,,,,
LABEV 0483,Reptilia ,Squamata,Dipsadidae,Erythrolamprus taeniogaster,Cobra d'água,21/01/2025,09:30,Ensolarado,Básico,RU - Básico,RU Básico,,,Terrestre e aquático,,Vivo,Juvenil,Fernando Tamachiro - Dono da empresa stylos,-,Kita,Margem do rio,Whatsapp,Douglas,Não,Sim,-,-,,,,,
LABEV 0485,Aves,Piciformes,Ramphastidae,Ramphastos tucanus,Tucano-de-papo-branco,22/01/2025,12:29,Ensolarado,Básico,Mangueira atrás do centro acadêmico de biologia (Anexo ICB),ICB,,,Aéreo e arborícola,Árvore,Vivo,Adulto,Bruna Cardoso - Discente,@bruttzs,-,-,Whatsapp,Douglas,Sim,Não,-,-,,,,,
LABEV 0486,Reptilia,Squamata,Colubridae,Mastigodryas boddaerti,Biru-listrada,22/01/2025,14:40,Ensolarado,Básico,Usina de Materiais,Laboratório de Engenharia Química,,,Terrestre e aquático,,Vivo,,Augusto Fernando - Técnico-Administrativo,@_augusto.freitas,,,Whatsapp,Douglas,Sim,Não,-,-,,,,,
LABEV 0484,Reptilia ,Squamata,Viperidae ,Bothrops atrox,Jararaca,22/01/2025,09:51,Ensolarado,PCT,Hospital Betina Ferro,Hospital Betina Ferro,,,Terrestre,,Vivo,Juvenil,,-,André Falcão,Instituto Butantã,Whatsapp,Douglas,Sim,Sim,-,-,,,,,
LABEV 0488,Aves,Pelecaniformes,Ardeidae,Butorides striata,Socozinho,23/01/2025,19:00,Noite,PCT ,Próximo ao portão 5,Portão 5,,,Aéreo,,Vivo,Adulto,João Oliveira,@jota.oli,-,-,Equipe ConViva,Douglas,Sim,Não,-,-,,,,,
